Crop,Region,State,District,Season,Area_Acres,Avg_Rainfall_mm,Yield_Quintal,Soil_Type
Sugarcane,West,Rajasthan,District-33,Kharif,196,1448,493.3,Black
Wheat,North,Punjab,District-38,Rabi,46,467,161.56,Loamy
Sugarcane,East,West Bengal,District-33,Kharif,194,1194,726.84,Alluvial
Maize,East,West Bengal,District-38,Rabi,16,504,60.17,Red
Maize,South,Tamil Nadu,District-23,Rabi,167,656,334.97,Loamy
Pulses,South,Andhra Pradesh,District-37,Kharif,90,352,284.89,Red
Maize,West,Maharashtra,District-19,Kharif,239,517,1054.78,Black
Pulses,Central,Chhattisgarh,District-30,Annual,29,568,66.31,Loamy
Wheat,North,Haryana,District-1,Annual,38,523,141.66,Sandy
Pulses,North,Punjab,District-25,Rabi,76,564,199.89,Loamy
Maize,Central,Madhya Pradesh,District-47,Kharif,78,597,263.76,Loamy
Rice,South,Andhra Pradesh,District-47,Kharif,282,1274,642.73,Black
Maize,West,Maharashtra,District-49,Rabi,12,892,31.69,Alluvial
Pulses,West,Gujarat,District-19,Kharif,185,358,670.31,Red
Sugarcane,South,Andhra Pradesh,District-37,Rabi,260,1292,972.39,Alluvial
Maize,South,Karnataka,District-8,Rabi,111,819,313.3,Loamy
Cotton,East,Bihar,District-24,Annual,158,647,378.22,Alluvial
Rice,East,Bihar,District-27,Kharif,86,1334,275.3,Red
Wheat,East,West Bengal,District-34,Rabi,194,638,843.19,Loamy
Maize,West,Gujarat,District-34,Kharif,99,507,351.66,Red
Cotton,South,Andhra Pradesh,District-30,Annual,145,679,479.53,Black
Rice,North,Uttar Pradesh,District-34,Rabi,123,1090,309.03,Alluvial
Maize,North,Punjab,District-13,Kharif,256,732,1006.52,Sandy
Rice,South,Tamil Nadu,District-35,Annual,14,943,53.8,Black
Sugarcane,East,Bihar,District-21,Kharif,80,1383,239.96,Red
Wheat,Central,Madhya Pradesh,District-16,Annual,58,582,203.73,Loamy
Maize,North,Haryana,District-42,Annual,46,868,125.84,Black
Pulses,West,Gujarat,District-18,Annual,133,323,510.15,Black
Rice,Central,Madhya Pradesh,District-3,Kharif,101,1229,299.91,Loamy
Rice,East,Bihar,District-23,Kharif,111,1447,339.72,Red
Wheat,Central,Madhya Pradesh,District-22,Rabi,265,793,1167.89,Red
Cotton,South,Karnataka,District-50,Rabi,246,783,706.85,Loamy
Wheat,Central,Chhattisgarh,District-13,Rabi,227,780,984.41,Black
Rice,Central,Madhya Pradesh,District-1,Rabi,260,1345,602.08,Black
Rice,Central,Madhya Pradesh,District-1,Annual,156,1428,665.79,Black
Maize,South,Andhra Pradesh,District-8,Rabi,136,547,546.93,Sandy
Rice,West,Rajasthan,District-25,Annual,12,1037,43.24,Black
Cotton,West,Gujarat,District-32,Rabi,147,980,610.64,Alluvial
Rice,North,Punjab,District-26,Kharif,264,1431,541.95,Alluvial
Maize,North,Punjab,District-17,Kharif,170,672,553.68,Red
Sugarcane,South,Andhra Pradesh,District-34,Kharif,28,1315,99.19,Loamy
Rice,North,Uttar Pradesh,District-26,Rabi,131,1352,275.18,Loamy
Wheat,West,Maharashtra,District-13,Rabi,245,751,1012.65,Black
Wheat,South,Tamil Nadu,District-22,Kharif,161,603,552.22,Loamy
Pulses,North,Punjab,District-26,Kharif,216,412,922.81,Black
Sugarcane,South,Karnataka,District-47,Kharif,168,1313,651.85,Loamy
Maize,South,Tamil Nadu,District-41,Kharif,103,543,406.67,Alluvial
Cotton,West,Rajasthan,District-36,Kharif,149,780,448.33,Loamy
Cotton,Central,Madhya Pradesh,District-1,Annual,280,627,725.26,Red
Wheat,Central,Chhattisgarh,District-50,Kharif,138,592,542.98,Red
Cotton,East,West Bengal,District-29,Annual,266,958,632.69,Red
Cotton,Central,Chhattisgarh,District-34,Rabi,179,919,726.77,Loamy
Wheat,Central,Madhya Pradesh,District-12,Annual,251,466,933.31,Alluvial
Pulses,West,Gujarat,District-5,Rabi,268,399,1173.65,Sandy
Wheat,West,Rajasthan,District-28,Annual,32,429,130.06,Red
Cotton,Central,Madhya Pradesh,District-32,Kharif,267,912,1051.6,Sandy
Pulses,South,Karnataka,District-23,Kharif,294,650,1302.26,Black
Maize,North,Haryana,District-36,Rabi,209,580,860.16,Loamy
Wheat,North,Uttar Pradesh,District-18,Kharif,211,585,906.25,Sandy
Rice,East,West Bengal,District-42,Kharif,21,1243,54.87,Loamy
Maize,North,Uttar Pradesh,District-42,Kharif,41,703,83.24,Alluvial
Pulses,South,Tamil Nadu,District-21,Annual,18,356,67.41,Red
Rice,North,Punjab,District-37,Rabi,72,955,277.64,Black
Sugarcane,North,Punjab,District-9,Kharif,226,1257,750.96,Red
Cotton,North,Haryana,District-26,Annual,217,871,842.73,Loamy
Cotton,East,West Bengal,District-12,Kharif,253,696,823.52,Red
Cotton,East,West Bengal,District-13,Rabi,51,762,119.48,Sandy
Wheat,Central,Chhattisgarh,District-12,Kharif,119,602,511.82,Red
Cotton,East,Bihar,District-10,Rabi,85,838,290.38,Sandy
Maize,West,Gujarat,District-49,Rabi,253,543,641.88,Alluvial
Rice,North,Punjab,District-1,Kharif,201,1097,779.92,Loamy
Rice,North,Haryana,District-11,Rabi,174,1372,430.47,Alluvial
Cotton,North,Punjab,District-32,Kharif,64,945,279.71,Alluvial
Sugarcane,North,Haryana,District-20,Kharif,288,1560,1117.11,Loamy
Maize,East,West Bengal,District-25,Rabi,205,678,677.78,Loamy
Sugarcane,East,Bihar,District-35,Annual,20,1227,71.9,Black
Wheat,West,Gujarat,District-3,Rabi,247,521,1099.44,Sandy
Sugarcane,Central,Chhattisgarh,District-2,Annual,207,1361,553.06,Loamy
Wheat,East,Bihar,District-17,Annual,52,701,223.59,Loamy
Pulses,North,Uttar Pradesh,District-7,Rabi,170,637,710.35,Sandy
Cotton,West,Rajasthan,District-44,Annual,60,928,178.17,Sandy
Cotton,North,Punjab,District-29,Kharif,103,822,270.27,Sandy
Pulses,North,Uttar Pradesh,District-45,Rabi,189,361,384.23,Alluvial
Maize,East,Bihar,District-11,Kharif,135,568,414.75,Red
Wheat,South,Karnataka,District-31,Rabi,198,473,646.72,Loamy
Cotton,North,Haryana,District-2,Annual,126,704,372.86,Black
Sugarcane,North,Uttar Pradesh,District-11,Kharif,35,1052,120.45,Sandy
Pulses,Central,Chhattisgarh,District-6,Rabi,257,555,849.27,Sandy
Maize,Central,Chhattisgarh,District-34,Annual,85,563,303.68,Black
Wheat,East,Odisha,District-28,Rabi,276,497,1018.05,Black
Sugarcane,South,Karnataka,District-16,Kharif,284,1481,974.2,Loamy
Sugarcane,South,Karnataka,District-34,Annual,124,1164,452.55,Red
Rice,North,Haryana,District-26,Rabi,233,948,629.8,Black
Pulses,East,Bihar,District-22,Rabi,249,688,1112.16,Red
Sugarcane,South,Karnataka,District-15,Rabi,257,1210,543.21,Sandy
Wheat,South,Karnataka,District-26,Kharif,268,549,804.56,Alluvial
Rice,North,Uttar Pradesh,District-46,Rabi,74,1155,330.66,Alluvial
Maize,South,Karnataka,District-45,Annual,51,754,131.66,Loamy
Rice,North,Punjab,District-46,Kharif,169,1321,705.27,Loamy
Sugarcane,North,Punjab,District-5,Rabi,260,1100,629.16,Loamy
Sugarcane,East,West Bengal,District-32,Kharif,72,1109,265.07,Red
Wheat,North,Uttar Pradesh,District-7,Rabi,275,516,1079.29,Sandy
Maize,East,West Bengal,District-21,Kharif,164,517,408.17,Alluvial
Pulses,East,Bihar,District-33,Rabi,268,669,722.16,Sandy
Wheat,West,Maharashtra,District-46,Rabi,150,586,643.89,Sandy
Sugarcane,East,West Bengal,District-2,Kharif,173,1368,478.52,Alluvial
Sugarcane,Central,Chhattisgarh,District-2,Rabi,36,1131,156.49,Sandy
Sugarcane,West,Gujarat,District-49,Kharif,255,1001,1147.06,Sandy
Maize,South,Tamil Nadu,District-35,Annual,255,621,916.43,Loamy
Wheat,East,Odisha,District-50,Annual,229,400,1012.77,Black
Rice,West,Rajasthan,District-2,Annual,239,1293,955.57,Black
Sugarcane,West,Maharashtra,District-14,Annual,248,1107,685.33,Red
Pulses,East,Odisha,District-22,Annual,84,394,233.5,Loamy
Cotton,South,Karnataka,District-12,Annual,150,828,396.11,Black
Rice,West,Gujarat,District-2,Kharif,61,1397,201.33,Sandy
Cotton,West,Gujarat,District-40,Annual,269,985,774.04,Sandy
Sugarcane,North,Uttar Pradesh,District-9,Kharif,59,1360,201.57,Alluvial
Maize,South,Karnataka,District-47,Kharif,118,856,289.77,Alluvial
Sugarcane,North,Uttar Pradesh,District-44,Rabi,113,1583,401.14,Loamy
Rice,North,Haryana,District-16,Rabi,187,1349,716.75,Red
Pulses,West,Gujarat,District-3,Annual,211,341,777.59,Loamy
Pulses,South,Tamil Nadu,District-30,Rabi,69,665,232.48,Red
Pulses,East,Odisha,District-10,Annual,215,613,933.15,Alluvial
Sugarcane,West,Maharashtra,District-25,Rabi,116,1113,461.36,Sandy
Sugarcane,West,Rajasthan,District-7,Rabi,28,1478,92.01,Sandy
Pulses,Central,Chhattisgarh,District-47,Kharif,242,559,722.2,Alluvial
Wheat,West,Gujarat,District-8,Annual,149,599,623.61,Sandy
Wheat,East,West Bengal,District-11,Rabi,27,701,60.86,Black
Sugarcane,East,Bihar,District-10,Rabi,79,1216,275.05,Sandy
Pulses,North,Punjab,District-36,Annual,184,476,729.86,Loamy
Pulses,Central,Chhattisgarh,District-45,Kharif,187,521,606.48,Loamy
Wheat,North,Uttar Pradesh,District-19,Rabi,226,582,853.73,Red
Sugarcane,North,Punjab,District-1,Kharif,132,1556,350.31,Red
Rice,North,Haryana,District-27,Kharif,99,1233,214.94,Sandy
Pulses,Central,Madhya Pradesh,District-28,Kharif,281,340,1236.29,Sandy
Pulses,East,West Bengal,District-5,Kharif,11,471,31.83,Alluvial
Pulses,Central,Chhattisgarh,District-1,Annual,30,644,110.55,Sandy
Cotton,East,Bihar,District-39,Kharif,130,741,460.11,Black
Rice,South,Karnataka,District-22,Annual,224,1089,921.91,Loamy
Rice,South,Karnataka,District-24,Kharif,10,1110,31.39,Red
Sugarcane,Central,Madhya Pradesh,District-30,Rabi,177,1332,524.55,Loamy
Cotton,South,Andhra Pradesh,District-33,Annual,60,1096,168.64,Alluvial
Sugarcane,Central,Chhattisgarh,District-23,Rabi,80,1418,193.46,Alluvial
Maize,North,Uttar Pradesh,District-11,Annual,19,816,75.9,Alluvial
Sugarcane,East,Odisha,District-14,Rabi,254,1267,894.42,Alluvial
Cotton,West,Rajasthan,District-19,Rabi,245,1020,746.98,Sandy
Maize,East,West Bengal,District-36,Kharif,51,756,131.32,Red
Pulses,South,Andhra Pradesh,District-50,Rabi,243,611,598.15,Loamy
Wheat,Central,Chhattisgarh,District-44,Rabi,119,507,515.07,Alluvial
Cotton,South,Tamil Nadu,District-16,Annual,73,992,250.74,Loamy
Pulses,Central,Chhattisgarh,District-23,Annual,210,529,485.87,Loamy
Cotton,West,Rajasthan,District-45,Kharif,97,1029,219.72,Sandy
Cotton,South,Karnataka,District-12,Rabi,246,930,882.93,Alluvial
Sugarcane,South,Karnataka,District-6,Kharif,284,1302,646.08,Black
Pulses,West,Maharashtra,District-44,Rabi,62,363,229.35,Black
Cotton,South,Andhra Pradesh,District-23,Kharif,158,786,350.97,Alluvial
Sugarcane,Central,Chhattisgarh,District-25,Annual,75,1198,194.36,Red
Cotton,South,Tamil Nadu,District-25,Annual,117,728,266.22,Black
Sugarcane,West,Rajasthan,District-50,Kharif,97,1045,355.68,Loamy
Maize,West,Rajasthan,District-15,Rabi,53,824,119.46,Loamy
Rice,North,Punjab,District-33,Kharif,83,1006,219.93,Sandy
Cotton,West,Rajasthan,District-20,Rabi,272,1013,954.31,Alluvial
Wheat,West,Maharashtra,District-19,Rabi,118,770,388.95,Black
Wheat,South,Tamil Nadu,District-5,Kharif,268,417,1091.61,Alluvial
Wheat,South,Andhra Pradesh,District-23,Kharif,104,503,313.1,Black
Wheat,West,Rajasthan,District-19,Annual,87,537,339.54,Black
Maize,Central,Chhattisgarh,District-14,Rabi,260,653,790.24,Black
Rice,North,Haryana,District-24,Annual,20,1148,85.89,Black
Wheat,North,Haryana,District-1,Annual,27,712,108.62,Alluvial
Pulses,Central,Chhattisgarh,District-1,Annual,52,584,206.17,Loamy
Sugarcane,East,Bihar,District-36,Kharif,278,1406,687.26,Loamy
Cotton,North,Punjab,District-28,Rabi,217,854,923.47,Black
Pulses,Central,Chhattisgarh,District-46,Rabi,70,470,275.38,Red
Cotton,Central,Madhya Pradesh,District-25,Annual,151,1059,574.91,Alluvial
Cotton,East,West Bengal,District-28,Rabi,97,1076,382.08,Alluvial
Maize,Central,Madhya Pradesh,District-29,Annual,185,633,449.65,Black
Pulses,West,Rajasthan,District-35,Kharif,80,683,314.39,Black
Pulses,South,Andhra Pradesh,District-38,Rabi,225,319,979.14,Sandy
Maize,West,Gujarat,District-27,Kharif,170,785,399.39,Red
Wheat,East,Bihar,District-3,Rabi,282,706,915.47,Loamy
Maize,West,Rajasthan,District-9,Rabi,202,697,578.54,Black
Rice,Central,Madhya Pradesh,District-6,Kharif,72,1100,210.52,Sandy
Maize,North,Haryana,District-2,Annual,98,759,354.26,Red
Rice,West,Maharashtra,District-42,Annual,224,925,484.06,Loamy
Maize,Central,Chhattisgarh,District-10,Kharif,108,744,344.07,Black
Sugarcane,Central,Madhya Pradesh,District-14,Kharif,78,1481,314.19,Red
Sugarcane,Central,Chhattisgarh,District-46,Rabi,238,1458,719.35,Loamy
Rice,North,Haryana,District-24,Kharif,104,1462,344.77,Loamy
Cotton,Central,Madhya Pradesh,District-9,Rabi,214,822,842.62,Alluvial
Maize,North,Uttar Pradesh,District-19,Annual,262,717,717.13,Alluvial
Pulses,East,Bihar,District-7,Rabi,192,437,712.69,Sandy
Wheat,East,West Bengal,District-27,Rabi,221,738,913.19,Black
Pulses,South,Tamil Nadu,District-39,Kharif,173,459,764.94,Loamy
Rice,North,Haryana,District-44,Rabi,225,1423,938.59,Red
Sugarcane,South,Karnataka,District-24,Rabi,225,1365,923.56,Alluvial
Rice,Central,Madhya Pradesh,District-37,Annual,107,1242,318.52,Red
Rice,North,Haryana,District-1,Annual,186,932,576.64,Loamy
Cotton,North,Punjab,District-48,Rabi,222,940,866.01,Red
Rice,West,Gujarat,District-34,Rabi,117,1137,467.53,Alluvial
Maize,West,Maharashtra,District-3,Kharif,159,613,694.52,Black
Rice,West,Gujarat,District-46,Rabi,246,1417,592.75,Red
Wheat,North,Uttar Pradesh,District-4,Rabi,94,425,262.19,Loamy
Sugarcane,North,Haryana,District-32,Kharif,255,1586,978.35,Sandy
Cotton,Central,Madhya Pradesh,District-30,Rabi,91,872,336.7,Sandy
Wheat,West,Gujarat,District-35,Annual,181,751,761.85,Alluvial
Pulses,Central,Chhattisgarh,District-12,Rabi,264,481,938.69,Alluvial
Cotton,East,West Bengal,District-37,Kharif,62,1059,234.45,Red
Sugarcane,North,Uttar Pradesh,District-36,Rabi,185,1551,659.34,Alluvial
Cotton,East,West Bengal,District-45,Annual,135,662,559.81,Loamy
Wheat,North,Haryana,District-9,Kharif,71,629,183.17,Loamy
Sugarcane,North,Uttar Pradesh,District-33,Annual,253,1441,603.73,Loamy
Rice,East,West Bengal,District-8,Rabi,271,1212,865.37,Black
Maize,West,Rajasthan,District-42,Annual,215,522,952.99,Loamy
Sugarcane,Central,Chhattisgarh,District-15,Annual,93,1186,400.8,Red
Sugarcane,East,Odisha,District-5,Kharif,33,1472,93.21,Black
Maize,South,Karnataka,District-16,Annual,92,646,360.31,Alluvial
Sugarcane,West,Gujarat,District-33,Kharif,135,1450,381.29,Red
Wheat,West,Maharashtra,District-3,Rabi,48,443,130.96,Loamy
Rice,South,Karnataka,District-36,Rabi,214,1245,476.02,Red
Pulses,East,Bihar,District-43,Kharif,51,413,192.02,Loamy
Rice,South,Tamil Nadu,District-14,Rabi,217,1147,809.52,Alluvial
Cotton,Central,Chhattisgarh,District-43,Annual,154,880,607.14,Loamy
Wheat,East,Bihar,District-14,Kharif,189,586,597.83,Loamy
Wheat,West,Maharashtra,District-22,Rabi,104,651,393.51,Black
Wheat,North,Uttar Pradesh,District-29,Rabi,86,773,342.86,Loamy
Rice,North,Haryana,District-18,Annual,59,1454,199.21,Black
Maize,North,Haryana,District-43,Rabi,37,742,147.96,Red
Wheat,South,Tamil Nadu,District-46,Rabi,284,547,983.89,Sandy
Pulses,West,Rajasthan,District-26,Annual,33,469,133.81,Loamy
Sugarcane,West,Maharashtra,District-31,Kharif,128,1037,268.87,Sandy
Wheat,North,Uttar Pradesh,District-27,Rabi,89,487,377.56,Loamy
Pulses,North,Uttar Pradesh,District-1,Rabi,249,402,1042.05,Red
Sugarcane,East,West Bengal,District-7,Kharif,13,1111,26.95,Red
Pulses,West,Rajasthan,District-29,Annual,245,678,1087.46,Sandy
Wheat,South,Karnataka,District-11,Kharif,156,502,412.53,Sandy
Cotton,West,Rajasthan,District-19,Annual,170,1068,540.45,Loamy
Maize,South,Tamil Nadu,District-21,Kharif,143,809,568.27,Red
Cotton,North,Haryana,District-40,Rabi,292,608,884.5,Red
Maize,North,Uttar Pradesh,District-34,Annual,37,522,121.11,Sandy
Sugarcane,South,Karnataka,District-31,Rabi,206,1522,413.12,Red
Maize,East,West Bengal,District-47,Rabi,149,511,379.13,Black
Rice,East,West Bengal,District-6,Kharif,85,1493,184.94,Loamy
Wheat,East,Bihar,District-18,Kharif,129,575,397.72,Black
Sugarcane,Central,Chhattisgarh,District-27,Kharif,262,1459,946.44,Black
Pulses,West,Gujarat,District-40,Kharif,21,373,66.98,Black
Cotton,South,Tamil Nadu,District-18,Rabi,86,1027,212.1,Loamy
Maize,East,Bihar,District-32,Annual,224,585,665.32,Red
Sugarcane,Central,Chhattisgarh,District-46,Kharif,289,1221,1026.61,Black
Wheat,East,West Bengal,District-48,Rabi,63,777,201.14,Red
Cotton,West,Gujarat,District-50,Kharif,236,605,782.84,Loamy
Sugarcane,Central,Madhya Pradesh,District-41,Annual,71,1209,257.57,Sandy
Pulses,West,Rajasthan,District-28,Annual,58,404,170.69,Black
Wheat,South,Karnataka,District-25,Kharif,60,779,140.18,Black
Maize,North,Haryana,District-48,Annual,117,715,504.74,Red
Wheat,South,Andhra Pradesh,District-35,Annual,123,711,515.1,Black
Maize,Central,Chhattisgarh,District-15,Kharif,100,689,371.48,Sandy
Cotton,East,Bihar,District-26,Kharif,166,795,469.12,Alluvial
Wheat,East,Bihar,District-17,Kharif,29,619,100,Alluvial
Rice,Central,Chhattisgarh,District-17,Annual,105,942,307.22,Sandy
Pulses,East,Bihar,District-21,Rabi,204,518,545.1,Loamy
Pulses,West,Rajasthan,District-15,Kharif,215,318,583.97,Alluvial
Cotton,East,West Bengal,District-43,Kharif,48,743,132.96,Alluvial
Maize,West,Gujarat,District-12,Rabi,191,509,566.95,Black
Wheat,West,Maharashtra,District-49,Annual,167,692,598.45,Loamy
Sugarcane,North,Haryana,District-33,Rabi,11,1018,28.13,Alluvial
Cotton,West,Gujarat,District-38,Rabi,276,1090,771.43,Sandy
Rice,Central,Chhattisgarh,District-42,Kharif,222,1431,781.27,Red
Pulses,Central,Chhattisgarh,District-24,Rabi,266,436,596.24,Red
Sugarcane,South,Andhra Pradesh,District-36,Rabi,184,1119,405.2,Sandy
Cotton,South,Karnataka,District-18,Rabi,211,919,511.91,Loamy
Sugarcane,South,Tamil Nadu,District-13,Annual,173,1199,417.28,Sandy
Cotton,East,West Bengal,District-5,Rabi,150,650,302.1,Sandy
Cotton,North,Punjab,District-33,Kharif,112,661,458.22,Black
Maize,South,Andhra Pradesh,District-48,Rabi,280,708,784.2,Alluvial
Pulses,North,Haryana,District-50,Annual,104,457,342.31,Loamy
Maize,Central,Madhya Pradesh,District-37,Rabi,291,534,592.83,Alluvial
Rice,North,Punjab,District-21,Kharif,229,928,525.36,Red
Wheat,West,Maharashtra,District-49,Kharif,214,622,753.54,Sandy
Maize,East,Odisha,District-37,Rabi,38,510,146.79,Loamy
Sugarcane,Central,Chhattisgarh,District-33,Kharif,84,1196,328.53,Alluvial
Rice,North,Haryana,District-9,Rabi,205,1264,908.88,Loamy
Rice,North,Haryana,District-48,Kharif,38,1211,135.96,Black
Maize,South,Karnataka,District-36,Annual,159,860,640.01,Sandy
Pulses,East,Odisha,District-27,Annual,21,546,89.5,Black
Sugarcane,East,West Bengal,District-33,Annual,179,1074,387.87,Loamy
Maize,Central,Madhya Pradesh,District-10,Rabi,205,647,589.35,Loamy
Pulses,Central,Madhya Pradesh,District-17,Annual,297,475,1093.51,Alluvial
Cotton,West,Gujarat,District-33,Rabi,65,980,280.01,Loamy
Sugarcane,East,Bihar,District-2,Kharif,136,1560,321.26,Sandy
Cotton,South,Andhra Pradesh,District-45,Annual,20,1083,44.18,Red
Cotton,North,Punjab,District-34,Annual,48,1018,198.03,Sandy
Cotton,South,Karnataka,District-35,Kharif,223,964,698.29,Sandy
Cotton,Central,Chhattisgarh,District-22,Rabi,38,665,148.37,Loamy
Pulses,West,Maharashtra,District-2,Annual,93,658,240.86,Sandy
Rice,North,Uttar Pradesh,District-48,Annual,120,967,295.41,Alluvial
Cotton,South,Andhra Pradesh,District-21,Kharif,217,730,449.1,Loamy
Rice,West,Rajasthan,District-23,Rabi,277,1071,751.56,Loamy
Rice,Central,Chhattisgarh,District-46,Annual,294,1290,807.88,Loamy
Wheat,West,Gujarat,District-45,Annual,18,788,53.45,Alluvial
Sugarcane,East,West Bengal,District-50,Annual,66,1183,151.22,Red
Cotton,East,West Bengal,District-2,Rabi,185,845,689.73,Red
Wheat,South,Karnataka,District-13,Kharif,295,507,617.93,Black
Rice,South,Tamil Nadu,District-44,Kharif,135,1240,273.25,Sandy
Rice,South,Karnataka,District-20,Kharif,153,1221,508.32,Red
Cotton,North,Haryana,District-2,Kharif,210,675,932.14,Red
Sugarcane,North,Uttar Pradesh,District-41,Rabi,163,1170,714.06,Loamy
Pulses,South,Tamil Nadu,District-47,Annual,209,663,883.65,Red
Maize,North,Haryana,District-50,Annual,92,734,235.81,Sandy
Cotton,South,Andhra Pradesh,District-48,Rabi,242,864,1071.18,Loamy
Wheat,South,Tamil Nadu,District-25,Annual,135,457,340.92,Loamy
Pulses,South,Karnataka,District-35,Kharif,129,496,505.3,Sandy
Sugarcane,Central,Madhya Pradesh,District-3,Kharif,201,1390,627.42,Alluvial
Pulses,West,Gujarat,District-19,Kharif,64,463,200.79,Alluvial
Rice,West,Maharashtra,District-19,Kharif,244,1325,916.21,Alluvial
Cotton,West,Gujarat,District-22,Kharif,287,1016,754.03,Loamy
Cotton,Central,Madhya Pradesh,District-3,Annual,24,772,92.69,Loamy
Maize,South,Andhra Pradesh,District-50,Kharif,14,669,48.79,Black
Rice,North,Uttar Pradesh,District-9,Annual,250,1394,1002.52,Black
Cotton,South,Karnataka,District-49,Annual,32,803,80.57,Black
Maize,East,Odisha,District-24,Annual,297,890,1320.43,Alluvial
Maize,South,Karnataka,District-36,Rabi,56,670,185.25,Alluvial
Wheat,Central,Chhattisgarh,District-15,Kharif,167,597,602.93,Black
Cotton,East,West Bengal,District-34,Kharif,239,854,1053.22,Loamy
Pulses,West,Rajasthan,District-42,Annual,256,678,1063.59,Sandy
Pulses,South,Karnataka,District-12,Annual,180,614,597.07,Black
Maize,Central,Madhya Pradesh,District-48,Annual,159,840,585.6,Sandy
Wheat,East,West Bengal,District-6,Rabi,86,523,220.74,Red
Rice,East,Bihar,District-28,Annual,216,1466,727.16,Loamy
Rice,Central,Chhattisgarh,District-48,Rabi,82,933,342.76,Loamy
Cotton,West,Maharashtra,District-18,Rabi,92,790,316.86,Sandy
Sugarcane,North,Punjab,District-45,Annual,77,1433,275.74,Sandy
